"","Action","Adventure","Animation","Children's","Comedy","Crime","Documentary","Drama","Fantasy","Film-Noir","Horror","Musical","Mystery","Romance","Sci-Fi","Thriller","War","Western"
"V1",2503,745,2019,2019,989,3233,578,787,2019,318,2309,3607,913,922,2503,3280,1830,953
"V2",439,3517,668,745,3172,3280,750,1830,668,1233,2480,2019,1250,904,439,2503,3656,1247
"V3",1198,1198,593,260,3233,50,1132,3656,2804,919,1198,908,1233,1212,2309,318,3517,1358
"V4",3338,3338,2028,668,3382,1204,2609,3881,1949,1248,2360,2028,1664,2930,1198,50,3338,1944
"V5",670,668,1136,908,3245,1423,3114,53,1780,911,1197,1203,1214,1193,3435,922,1207,3006
"V6",1204,1193,3091,3089,2905,1196,1300,527,1953,3224,363,3091,947,128,913,670,1193,1264
"V7",1193,908,3683,593,858,2357,1291,1148,1111,1139,608,903,3083,1267,1193,913,1223,1192
"V8",1223,326,1,2028,1795,899,3811,557,1947,1265,3196,1949,1245,1172,3307,1250,1237,3305
"V9",1221,1284,1950,3091,922,951,599,260,3421,931,1304,1361,966,905,1221,1221,1280,1103
"V10",326,930,1263,1002,1198,1617,3471,1207,3808,902,1927,1269,1434,903,326,1136,1253,2969
