"","Action","Adventure","Animation","Children's","Comedy","Crime","Documentary","Drama","Fantasy","Film-Noir","Horror","Musical","Mystery","Romance","Sci-Fi","Thriller","War","Western"
"V1",6,2,1,1,1,6,37,4,2,163,12,48,59,3,24,6,41,209
"V2",9,8,13,2,3,22,77,11,56,318,70,73,112,7,29,10,150,264
"V3",10,10,48,8,4,42,98,14,60,538,151,106,122,11,32,16,154,301
"V4",15,15,237,13,5,47,107,16,125,737,176,198,159,15,66,18,156,365
"V5",20,29,242,34,7,50,127,17,245,902,187,240,163,17,76,22,160,380
"V6",21,33,311,48,11,70,133,21,256,911,195,324,255,25,159,23,264,413
"V7",42,44,361,54,12,81,135,22,258,919,219,343,332,28,171,47,333,429
"V8",44,56,555,56,19,111,136,24,315,931,251,361,347,33,172,50,353,455
"V9",70,60,585,60,21,116,161,25,364,1055,271,548,424,35,184,61,386,484
"V10",71,86,591,87,34,148,191,26,555,1056,283,585,448,39,195,66,462,550
